State: PRELAUNCH, Time: 1799.43s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.45s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.86m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.46s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.84m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.48s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.84m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.50s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.68, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.86m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.52s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.54s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.56s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.57s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.59s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.90m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.61s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.89m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.63s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.65s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.91m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.67s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.87m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.69s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.93m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.71s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.73s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.92m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.75s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.97m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.77s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.79s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.80s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (0.00, -0.00, -0.01), Alt: 2.94m, P: 1004.06hPa
State: PRELAUNCH, Time: 1799.82s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.88m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.84s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.68, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.88m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.86s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, -0.00, -0.01), Alt: 2.83m, P: 1004.07hPa
State: PRELAUNCH, Time: 1799.88s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.79m, P: 1004.08hPa
State: PRELAUNCH, Time: 1799.90s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (0.00, 0.00, -0.01), Alt: 2.79m, P: 1004.08hPa
State: PRELAUNCH, Time: 1799.91s, Lat: 0.000000, Lon: 0.000000, Euler: (179.49, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.77m, P: 1004.08hPa
State: PRELAUNCH, Time: 1799.93s, Lat: 0.000000, Lon: 0.000000, Euler: (179.50, 2.69, 54.14), Accel: (-0.00, 0.00, -0.01), Alt: 2.81m, P: 1004.07hPa
