wall,t,state,lat,lon,gnss_alt,roll,pitch,yaw,ax,ay,az,gx,gy,gz,px,py,pz,baro_alt,pressure,kf_alt,kf_vz,apogee,r2,health
11:27:37.407,90.713,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.200,-4.650,7.450,0.0040,0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.127,1006.933,-0.144,0.276,-0.106,0.00053,255
11:27:37.449,90.753,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.200,-4.660,7.450,0.0010,-0.0020,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.153,1006.936,-0.151,0.125,-0.106,0.00140,255
11:27:37.492,90.792,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.200,-4.660,7.450,0.0010,0.0000,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.201,1006.942,-0.159,-0.008,-0.107,0.00993,255
11:27:37.532,90.832,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.200,-4.650,7.450,-0.0040,-0.0040,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.238,1006.947,-0.202,-0.375,-0.104,0.03629,255
11:27:37.580,90.873,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.210,-4.650,7.450,-0.0000,0.0000,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.285,1006.952,-0.249,-0.595,-0.096,0.11999,255
11:27:37.615,90.912,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.210,-4.650,7.450,0.0020,0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.196,1006.941,-0.241,-0.306,-0.090,0.19846,255
11:27:37.662,90.952,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.200,-4.660,7.450,0.0010,0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.164,1006.938,-0.207,0.093,-0.089,0.25530,255
11:27:37.698,90.992,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.200,-4.660,7.450,-0.0020,0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.217,1006.944,-0.197,0.132,-0.091,0.28585,255
11:27:37.744,91.032,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.200,-4.650,7.450,-0.0030,-0.0020,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.227,1006.945,-0.220,-0.099,-0.090,0.32507,255
11:27:37.784,91.072,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.200,-4.650,7.450,-0.0020,-0.0020,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.254,1006.948,-0.233,-0.190,-0.090,0.36370,255
11:27:37.825,91.112,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.210,-4.650,7.450,0.0010,0.0000,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.243,1006.947,-0.238,-0.168,-0.089,0.39556,255
11:27:37.866,91.153,PRELAUNCH,34.6059952,127.2124329,-2.09,-177.210,-4.650,7.450,0.0010,0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.169,1006.938,-0.214,0.109,-0.090,0.40503,255
11:27:37.909,91.192,PRELAUNCH,34.6059952,127.2124329,-2.09,-177.200,-4.660,7.450,-0.0000,0.0000,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.238,1006.947,-0.220,0.014,-0.091,0.40002,255
11:27:37.950,91.232,PRELAUNCH,34.6059952,127.2124329,-2.09,-177.200,-4.650,7.450,-0.0020,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.264,1006.950,-0.244,-0.197,-0.091,0.41325,255
11:27:37.992,91.272,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.200,-4.650,7.450,-0.0010,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.238,1006.946,-0.256,-0.215,-0.091,0.45015,255
11:27:38.033,91.312,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.210,-4.650,7.450,0.0010,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.291,1006.953,-0.264,-0.214,-0.091,0.52395,255
11:27:38.075,91.352,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.210,-4.650,7.450,0.0020,0.0000,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.248,1006.948,-0.257,-0.083,-0.091,0.54813,255
11:27:38.117,91.393,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.200,-4.660,7.450,0.0010,0.0020,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.317,1006.956,-0.293,-0.367,-0.090,0.53805,255
11:27:38.159,91.433,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.200,-4.650,7.450,-0.0030,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.285,1006.952,-0.317,-0.418,-0.087,0.58112,255
11:27:38.199,91.473,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.200,-4.650,7.450,-0.0010,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.238,1006.946,-0.298,-0.086,-0.086,0.68856,255
11:27:38.247,91.513,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.200,-4.650,7.450,0.0000,0.0000,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.280,1006.951,-0.283,0.069,-0.087,0.75791,255
11:27:38.282,91.552,PRELAUNCH,34.6059952,127.2124329,-2.10,-177.200,-4.650,7.450,0.0020,-0.0000,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.243,1006.947,-0.247,0.335,-0.089,0.73648,255
11:27:38.324,91.593,PRELAUNCH,34.6059952,127.2124329,-2.11,-177.210,-4.660,7.450,0.0010,0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.201,1006.942,-0.213,0.513,-0.089,0.61201,255
11:27:38.364,91.633,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.210,-4.660,7.450,-0.0030,-0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.259,1006.949,-0.213,0.315,-0.078,0.45193,255
11:27:38.406,91.673,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.200,-4.650,7.450,-0.0020,0.0030,0.0030,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.233,1006.946,-0.237,0.029,-0.060,0.34021,255
11:27:38.454,91.713,PRELAUNCH,34.6059952,127.2124329,-2.12,-177.200,-4.650,7.450,0.0010,-0.0000,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.185,1006.940,-0.227,0.130,-0.018,0.19355,255
11:27:38.489,91.752,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.200,-4.650,7.450,0.0030,-0.0000,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.259,1006.949,-0.242,-0.061,0.384,-0.11372,255
11:27:38.533,91.792,PRELAUNCH,34.6059952,127.2124329,-2.13,-177.200,-4.660,7.450,0.0020,-0.0010,0.0030,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.243,1006.947,-0.256,-0.147,0.848,-0.17359,255
11:27:38.574,91.832,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.210,-4.660,7.450,-0.0020,-0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.211,1006.943,-0.236,0.078,nan,-0.14348,255
11:27:38.615,91.873,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.210,-4.660,7.450,0.0000,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.132,1006.934,-0.181,0.532,nan,-0.11087,255
11:27:38.655,91.912,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.210,-4.660,7.450,-0.0010,0.0020,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.143,1006.935,-0.142,0.678,nan,-0.09114,255
11:27:38.698,91.953,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.200,-4.660,7.450,0.0000,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.106,1006.931,-0.113,0.698,nan,0.00499,255
11:27:38.739,91.992,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.200,-4.660,7.450,-0.0000,0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.063,1006.926,-0.072,0.811,nan,0.16411,255
11:27:38.781,92.032,PRELAUNCH,34.6059952,127.2124329,-2.13,-177.200,-4.660,7.450,-0.0010,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.127,1006.933,-0.077,0.468,nan,0.29027,255
11:27:38.824,92.072,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.200,-4.660,7.450,0.0000,-0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.116,1006.932,-0.090,0.201,nan,0.38090,255
11:27:38.863,92.112,PRELAUNCH,34.6059952,127.2124329,-2.15,-177.200,-4.660,7.450,0.0020,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.079,1006.928,-0.086,0.170,nan,0.45536,255
11:27:38.904,92.153,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.210,-4.660,7.450,0.0020,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.143,1006.935,-0.093,0.023,nan,0.51905,255
11:27:38.948,92.192,PRELAUNCH,34.6059952,127.2124329,-2.15,-177.200,-4.660,7.450,-0.0000,0.0030,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.137,1006.934,-0.132,-0.267,nan,0.53171,255
11:27:38.990,92.232,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.660,7.450,-0.0030,-0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.196,1006.941,-0.169,-0.498,nan,0.49285,255
11:27:39.031,92.272,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.190,-4.650,7.450,-0.0000,-0.0000,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.148,1006.936,-0.169,-0.323,nan,0.44070,255
11:27:39.072,92.312,PRELAUNCH,34.6059952,127.2124329,-2.16,-177.200,-4.650,7.450,0.0030,-0.0030,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.100,1006.930,-0.145,0.010,nan,0.41159,255
11:27:39.115,92.352,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.200,-4.660,7.450,0.0020,-0.0030,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.159,1006.937,-0.137,0.051,nan,0.40555,255
11:27:39.157,92.393,PRELAUNCH,34.6059952,127.2124329,-2.14,-177.200,-4.660,7.450,-0.0010,0.0020,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.196,1006.941,-0.164,-0.204,nan,0.37343,255
11:27:39.196,92.433,PRELAUNCH,34.6059952,127.2124329,-2.15,-177.200,-4.660,7.450,-0.0050,0.0020,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.159,1006.937,-0.149,-0.022,nan,0.34406,255
11:27:39.244,92.472,PRELAUNCH,34.6059952,127.2124329,-2.16,-177.200,-4.650,7.450,-0.0000,0.0000,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.159,1006.937,-0.158,-0.084,nan,0.28487,255
11:27:39.282,92.513,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.650,7.450,0.0030,0.0020,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.159,1006.937,-0.152,-0.014,nan,0.22692,255
11:27:39.321,92.553,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.660,7.450,0.0030,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.164,1006.937,-0.152,-0.020,nan,0.17828,255
11:27:39.363,92.593,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.660,7.450,-0.0010,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.106,1006.931,-0.127,0.204,nan,0.15444,255
11:27:39.406,92.633,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.660,7.450,-0.0020,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.137,1006.935,-0.119,0.139,nan,0.08584,255
11:27:39.449,92.673,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.650,7.450,-0.0020,0.0000,0.0000,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.222,1006.944,-0.169,-0.342,nan,-0.01665,255
11:27:39.489,92.712,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.650,7.450,0.0010,0.0020,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.153,1006.937,-0.181,-0.311,nan,-0.17159,255
11:27:39.531,92.752,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.660,7.450,0.0000,0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.148,1006.935,-0.159,-0.027,nan,-0.43298,255
11:27:39.572,92.792,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.200,-4.660,7.450,0.0010,-0.0010,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.222,1006.945,-0.185,-0.253,nan,-0.77277,255
11:27:39.617,92.832,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.210,-4.660,7.450,-0.0020,-0.0040,0.0000,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.174,1006.939,-0.191,-0.209,nan,-0.80784,255
11:27:39.654,92.873,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.210,-4.650,7.450,0.0000,-0.0020,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.159,1006.937,-0.173,0.017,nan,-0.69468,255
11:27:39.696,92.912,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.210,-4.650,7.450,0.0010,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.111,1006.931,-0.142,0.281,nan,-0.62721,255
11:27:39.735,92.953,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.200,-4.650,7.450,-0.0030,0.0040,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.180,1006.939,-0.160,0.031,3.310,-0.53082,255
11:27:39.781,92.992,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.190,-4.650,7.450,-0.0000,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.201,1006.942,-0.179,-0.143,-0.148,-0.39660,255
11:27:39.820,93.032,PRELAUNCH,34.6059952,127.2124329,-2.17,-177.200,-4.650,7.450,-0.0000,-0.0050,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.127,1006.933,-0.155,0.118,-0.153,-0.31263,255
11:27:39.868,93.072,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.200,-4.650,7.450,0.0020,-0.0040,0.0020,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.190,1006.941,-0.156,0.027,-0.143,-0.24144,255
11:27:39.904,93.112,PRELAUNCH,34.6059952,127.2124329,-2.18,-177.210,-4.650,7.450,0.0020,0.0010,0.0010,0.000,0.000,0.000,-0.005,-0.005,0.012,-0.238,1006.946,-0.197,-0.343,-0.160,-0.08989,255
